city,country,date,temp_max,temp_min,precip_sum,precip_prob_max,weather_code,extracted_at
Manila,Philippines,2026-04-01,30.6,26.0,0.0,0,3,2026-04-02T17:14:41.170839+00:00
Manila,Philippines,2026-04-02,30.6,26.1,0.0,0,2,2026-04-02T17:14:41.170839+00:00
Manila,Philippines,2026-04-03,30.2,26.0,0.0,0,1,2026-04-02T17:14:41.170839+00:00
Manila,Philippines,2026-04-04,29.5,25.8,0.0,0,2,2026-04-02T17:14:41.170839+00:00
Manila,Philippines,2026-04-05,29.6,26.2,0.1,0,2,2026-04-02T17:14:41.170839+00:00
Manila,Philippines,2026-04-06,30.6,26.6,0.0,0,1,2026-04-02T17:14:41.170839+00:00
Manila,Philippines,2026-04-07,29.8,26.8,0.0,1,2,2026-04-02T17:14:41.170839+00:00
Manila,Philippines,2026-04-08,30.7,27.0,0.0,5,1,2026-04-02T17:14:41.170839+00:00
Cebu,Philippines,2026-04-01,31.3,21.7,0.3,3,3,2026-04-02T17:14:41.170839+00:00
Cebu,Philippines,2026-04-02,32.0,22.3,0.0,3,3,2026-04-02T17:14:41.170839+00:00
Cebu,Philippines,2026-04-03,32.1,23.4,0.4,15,3,2026-04-02T17:14:41.170839+00:00
Cebu,Philippines,2026-04-04,33.3,22.1,0.0,5,3,2026-04-02T17:14:41.170839+00:00
Cebu,Philippines,2026-04-05,33.2,22.5,0.1,10,3,2026-04-02T17:14:41.170839+00:00
Cebu,Philippines,2026-04-06,33.3,23.4,0.0,5,2,2026-04-02T17:14:41.170839+00:00
Cebu,Philippines,2026-04-07,33.9,22.0,0.0,8,2,2026-04-02T17:14:41.170839+00:00
Cebu,Philippines,2026-04-08,32.0,22.3,0.3,15,2,2026-04-02T17:14:41.170839+00:00
Davao,Philippines,2026-04-01,30.9,19.5,0.0,3,2,2026-04-02T17:14:41.170839+00:00
Davao,Philippines,2026-04-02,30.7,19.4,0.0,20,3,2026-04-02T17:14:41.170839+00:00
Davao,Philippines,2026-04-03,31.7,18.4,0.2,23,80,2026-04-02T17:14:41.170839+00:00
Davao,Philippines,2026-04-04,30.8,19.5,1.6,38,80,2026-04-02T17:14:41.170839+00:00
Davao,Philippines,2026-04-05,30.1,20.0,4.2,35,95,2026-04-02T17:14:41.170839+00:00
Davao,Philippines,2026-04-06,31.2,20.1,0.0,13,2,2026-04-02T17:14:41.170839+00:00
Davao,Philippines,2026-04-07,32.6,17.4,0.0,13,1,2026-04-02T17:14:41.170839+00:00
Davao,Philippines,2026-04-08,33.0,17.8,0.3,15,45,2026-04-02T17:14:41.170839+00:00
Singapore,Singapore,2026-04-01,32.8,25.5,4.1,98,95,2026-04-02T17:14:41.170839+00:00
Singapore,Singapore,2026-04-02,31.9,25.1,1.9,43,95,2026-04-02T17:14:41.170839+00:00
Singapore,Singapore,2026-04-03,33.7,25.4,0.0,13,3,2026-04-02T17:14:41.170839+00:00
Singapore,Singapore,2026-04-04,32.6,25.1,2.2,23,80,2026-04-02T17:14:41.170839+00:00
