city,country,date,temp_max,temp_min,precip_sum,precip_prob_max,weather_code,extracted_at
Manila,Philippines,2026-04-01,30.6,26.0,0.0,0,3,2026-04-02T15:44:35.760096+00:00
Manila,Philippines,2026-04-02,30.6,26.1,0.0,0,2,2026-04-02T15:44:35.760096+00:00
Manila,Philippines,2026-04-03,30.2,25.8,0.0,0,1,2026-04-02T15:44:35.760096+00:00
Manila,Philippines,2026-04-04,29.5,25.7,0.0,0,1,2026-04-02T15:44:35.760096+00:00
Manila,Philippines,2026-04-05,29.6,25.8,0.0,0,1,2026-04-02T15:44:35.760096+00:00
Manila,Philippines,2026-04-06,29.4,26.1,0.0,0,2,2026-04-02T15:44:35.760096+00:00
Manila,Philippines,2026-04-07,30.2,27.0,0.0,3,2,2026-04-02T15:44:35.760096+00:00
Manila,Philippines,2026-04-08,30.0,25.9,0.0,3,1,2026-04-02T15:44:35.760096+00:00
Cebu,Philippines,2026-04-01,31.3,21.7,0.3,3,3,2026-04-02T15:44:35.760096+00:00
Cebu,Philippines,2026-04-02,32.0,22.3,0.0,3,3,2026-04-02T15:44:35.760096+00:00
Cebu,Philippines,2026-04-03,31.4,23.3,0.1,33,3,2026-04-02T15:44:35.760096+00:00
Cebu,Philippines,2026-04-04,32.8,22.1,0.0,3,3,2026-04-02T15:44:35.760096+00:00
Cebu,Philippines,2026-04-05,31.8,22.8,1.1,5,80,2026-04-02T15:44:35.760096+00:00
Cebu,Philippines,2026-04-06,33.0,22.5,0.0,5,3,2026-04-02T15:44:35.760096+00:00
Cebu,Philippines,2026-04-07,33.4,21.8,0.0,6,3,2026-04-02T15:44:35.760096+00:00
Cebu,Philippines,2026-04-08,33.7,22.4,0.0,13,45,2026-04-02T15:44:35.760096+00:00
Davao,Philippines,2026-04-01,30.9,19.5,0.0,3,2,2026-04-02T15:44:35.760096+00:00
Davao,Philippines,2026-04-02,30.7,19.4,0.0,20,3,2026-04-02T15:44:35.760096+00:00
Davao,Philippines,2026-04-03,31.2,18.0,0.1,15,3,2026-04-02T15:44:35.760096+00:00
Davao,Philippines,2026-04-04,30.5,19.5,2.1,50,80,2026-04-02T15:44:35.760096+00:00
Davao,Philippines,2026-04-05,29.6,19.9,5.0,40,95,2026-04-02T15:44:35.760096+00:00
Davao,Philippines,2026-04-06,30.9,20.2,0.0,15,2,2026-04-02T15:44:35.760096+00:00
Davao,Philippines,2026-04-07,31.8,18.8,0.0,13,2,2026-04-02T15:44:35.760096+00:00
Davao,Philippines,2026-04-08,32.8,19.4,0.0,43,2,2026-04-02T15:44:35.760096+00:00
Singapore,Singapore,2026-04-01,32.8,25.5,4.1,98,95,2026-04-02T15:44:35.760096+00:00
Singapore,Singapore,2026-04-02,31.9,25.1,1.9,43,95,2026-04-02T15:44:35.760096+00:00
Singapore,Singapore,2026-04-03,33.6,24.7,0.0,8,3,2026-04-02T15:44:35.760096+00:00
Singapore,Singapore,2026-04-04,33.3,25.0,0.5,16,3,2026-04-02T15:44:35.760096+00:00
Singapore,Singapore,2026-04-05,33.2,25.4,2.9,48,95,2026-04-02T15:44:35.760096+00:00
Singapore,Singapore,2026-04-06,32.9,25.6,3.6,53,80,2026-04-02T15:44:35.760096+00:00
Singapore,Singapore,2026-04-07,32.2,25.5,7.5,53,80,2026-04-02T15:44:35.760096+00:00
Singapore,Singapore,2026-04-08,33.0,25.7,6.9,55,95,2026-04-02T15:44:35.760096+00:00
Kuala Lumpur,Malaysia,2026-04-01,30.1,24.5,30.9,85,95,2026-04-02T15:44:35.760096+00:00
Kuala Lumpur,Malaysia,2026-04-02,34.5,25.1,0.3,30,80,2026-04-02T15:44:35.760096+00:00
Kuala Lumpur,Malaysia,2026-04-03,35.6,24.8,0.3,23,3,2026-04-02T15:44:35.760096+00:00
Kuala Lumpur,Malaysia,2026-04-04,34.5,25.5,0.2,35,3,2026-04-02T15:44:35.760096+00:00
Kuala Lumpur,Malaysia,2026-04-05,34.5,25.6,2.0,73,80,2026-04-02T15:44:35.760096+00:00
Kuala Lumpur,Malaysia,2026-04-06,32.3,25.6,2.1,63,80,2026-04-02T15:44:35.760096+00:00
Kuala Lumpur,Malaysia,2026-04-07,33.8,25.1,7.8,75,95,2026-04-02T15:44:35.760096+00:00
Kuala Lumpur,Malaysia,2026-04-08,34.4,25.0,1.2,70,80,2026-04-02T15:44:35.760096+00:00
George Town,Malaysia,2026-04-01,31.2,25.8,6.8,90,95,2026-04-02T15:44:35.760096+00:00
George Town,Malaysia,2026-04-02,32.7,26.5,0.5,88,80,2026-04-02T15:44:35.760096+00:00
George Town,Malaysia,2026-04-03,31.6,27.0,0.3,40,2,2026-04-02T15:44:35.760096+00:00
George Town,Malaysia,2026-04-04,31.8,27.2,1.5,25,80,2026-04-02T15:44:35.760096+00:00
George Town,Malaysia,2026-04-05,31.9,27.3,1.4,21,80,2026-04-02T15:44:35.760096+00:00
George Town,Malaysia,2026-04-06,30.9,27.5,3.6,53,95,2026-04-02T15:44:35.760096+00:00
George Town,Malaysia,2026-04-07,31.7,27.3,6.6,58,95,2026-04-02T15:44:35.760096+00:00
George Town,Malaysia,2026-04-08,33.4,27.7,0.0,50,3,2026-04-02T15:44:35.760096+00:00
