city,country,date,temp_max,temp_min,precip_sum,precip_prob_max,weather_code,extracted_at
Johor Bahru,Malaysia,2026-04-03,34.0,24.9,0.1,10,3,2026-04-01T09:53:09.027697+00:00
Johor Bahru,Malaysia,2026-04-04,33.6,24.9,0.0,13,3,2026-04-01T09:53:09.027697+00:00
Johor Bahru,Malaysia,2026-04-05,31.9,25.7,2.1,45,3,2026-04-01T09:53:09.027697+00:00
Johor Bahru,Malaysia,2026-04-06,32.8,25.6,1.5,33,80,2026-04-01T09:53:09.027697+00:00
Johor Bahru,Malaysia,2026-04-07,32.4,25.3,3.9,48,3,2026-04-01T09:53:09.027697+00:00
Bangkok,Thailand,2026-03-31,34.4,26.2,0.0,0,2,2026-04-01T09:53:09.027697+00:00
Bangkok,Thailand,2026-04-01,34.1,26.5,0.1,13,2,2026-04-01T09:53:09.027697+00:00
Bangkok,Thailand,2026-04-02,33.7,27.0,0.1,0,2,2026-04-01T09:53:09.027697+00:00
Bangkok,Thailand,2026-04-03,33.7,27.3,0.0,0,2,2026-04-01T09:53:09.027697+00:00
Bangkok,Thailand,2026-04-04,34.0,27.8,0.0,0,2,2026-04-01T09:53:09.027697+00:00
Bangkok,Thailand,2026-04-05,36.0,27.3,0.0,0,2,2026-04-01T09:53:09.027697+00:00
Bangkok,Thailand,2026-04-06,35.5,27.9,0.0,0,2,2026-04-01T09:53:09.027697+00:00
Bangkok,Thailand,2026-04-07,36.4,27.3,0.0,0,2,2026-04-01T09:53:09.027697+00:00
Chiang Mai,Thailand,2026-03-31,38.2,22.9,0.0,0,3,2026-04-01T09:53:09.027697+00:00
Chiang Mai,Thailand,2026-04-01,37.8,24.3,0.1,0,3,2026-04-01T09:53:09.027697+00:00
Chiang Mai,Thailand,2026-04-02,39.0,25.1,0.0,0,2,2026-04-01T09:53:09.027697+00:00
Chiang Mai,Thailand,2026-04-03,38.9,24.6,0.0,0,3,2026-04-01T09:53:09.027697+00:00
Chiang Mai,Thailand,2026-04-04,39.4,24.9,0.0,0,3,2026-04-01T09:53:09.027697+00:00
Chiang Mai,Thailand,2026-04-05,39.0,25.7,0.0,0,2,2026-04-01T09:53:09.027697+00:00
